"Model" "Mean.Est" "EP" "deviation" "qua_0" "qua_25" "qua_50" "qua_75" "qua_100" "Mean.Obs"
"EEA2" "PA" 62.736 0.788 0.313 0.081 0.839 0.946 0.97 0.991 62
"JG1" "PA" 65.907 0.78 0.256 0.041 0.639 0.895 0.952 0.978 66
"JG2" "PA" 51.074 0.847 0.176 0.542 0.732 0.943 0.987 0.999 51
"QR1" "PA" 65.726 0.522 0.303 0.056 0.307 0.596 0.754 0.925 66
"QR2" "PA" 69.671 0.778 0.249 0.366 0.598 0.904 0.983 0.998 70
"SG1" "PA" 60.43 0.637 0.275 0.162 0.41 0.721 0.851 0.981 60
"SG2" "PA" 47.736 0.759 0.207 0.303 0.662 0.718 0.907 0.997 47
"EEA2.1" "Normal" 26.111 0.561 0.378 -0.008 0.193 0.495 0.995 1 26.1313933207052
"JG1.1" "Normal" 24.118 0.618 0.309 0.109 0.361 0.602 0.92 0.976 24.1414818586302
"JG2.1" "Normal" 17.19 0.745 0.273 0 0.741 0.833 0.903 0.943 17.1710257901069
"QR1.1" "Normal" 21.85 0.581 0.264 0.106 0.461 0.627 0.79 0.943 21.8981237384018
"QR2.1" "Normal" 24.275 0.594 0.331 0.082 0.356 0.61 0.868 1 24.2214192306889
"SG1.1" "Normal" 22.717 0.539 0.308 0.06 0.374 0.419 0.835 0.992 22.716234874484
"SG2.1" "Normal" 20.604 0.582 0.269 0.066 0.454 0.542 0.862 0.929 20.6457458883782
