"Model" "Beta..Intercept." "Beta.Temp" "Beta.Forest" "Beta.Grasslands" "Beta.Crops" "Y"
"1" "PA" 0.16365388798961 0.146553544618782 0.186259644793646 0.127513396132274 0.114793857238063 0.0439114480487114
"2" "PA" 0.165869508904398 0.169524578920746 0.156342357046493 0.162189730649202 0.1818329984453 0.123154852415322
"3" "PA" 0.102413231868493 0.11098474542284 0.0306636835419818 0.0265584833454643 0.0159533207911711 0.0740419987069735
"4" "PA" 0.56979359776804 0.0521189530219557 0.612151617387496 0.601206293470526 0.829667246409249 0.728627740398857
"5" "PA" 0.0174357829218056 0.0265951932005102 0.0156322546003758 0.0379178743024762 0.635611870210802 0.288173741407153
"6" "PA" 0.362068964451547 0.284887993407599 0.212344117353154 0.482742712879477 0.65191632760746 0.607045248553658
"7" "PA" 0.119027029962589 0.0755841362081547 0.595645356550775 0.379854100846704 0.483751290760333 0.322638326983
"8" "Normal" 0.115692609986493 0.0783325845977677 0.333411202666546 0.343284801163941 0.332775578169358 0.106611797929922
"9" "Normal" 0.0924737550732758 0.0158089408051627 0.396062586491969 0.528895904977513 0.516227167645713 0.0406478509714923
"10" "Normal" 0.149197139767461 0.0708041053649767 0.330105444759179 0.498772928513557 0.484929706593066 0.116482465158307
"11" "Normal" 0.51162342011717 0.161934264721005 0.792800621424777 0.830563783191764 0.153932960887726 0.286468731774438
"12" "Normal" 0.221097479694044 0.12359479191043 0.56871020590935 0.576462445747362 0.169578074930752 0.14161775006161
"13" "Normal" 0.101342997054334 0.12311004298099 0.573109832819278 0.528896368827186 0.297651903980604 0.229102468535146
"14" "Normal" 0.083771114729346 0.051965411788904 0.373685469177063 0.404840292281134 0.254182762272327 0.186652425115041
